"Table S1. Metadata of 122,680 filtered Salmonella enterica genomes."			
Genome ID	Serotype	Isolation Source	Country
GCA_010767395.1	null	Animals	Canada
GCA_010767415.1	null	Animals	Canada
GCA_010767435.1	null	Animals	Canada
GCA_010767455.1	null	Animals	Canada
GCA_010767465.1	null	Animals	Canada
GCA_010767495.1	null	Animals	Canada
GCA_010767515.1	null	Animals	Canada
GCA_010767535.1	null	Animals	Canada
GCA_010767555.1	null	Animals	Canada
GCA_010767575.1	null	Animals	Canada
GCA_010767595.1	null	Animals	Canada
GCA_010767615.1	null	Animals	Canada
GCA_010767635.1	null	Animals	Canada
GCA_010767655.1	null	Animals	Canada
GCA_010767675.1	null	Animals	Canada
GCA_010767695.1	null	Animals	Canada
GCA_010767715.1	null	Animals	Canada
GCA_010767735.1	null	Animals	Canada
GCA_010767745.1	null	Animals	Canada
GCA_010767775.1	null	Animals	Canada
GCA_010767795.1	null	Animals	Canada
GCA_010767815.1	null	Animals	Canada
GCA_010767835.1	null	Animals	Canada
GCA_010767855.1	null	Animals	Canada
GCA_010767875.1	null	Animals	Canada
GCA_010767895.1	null	Animals	Canada
GCA_010767915.1	null	Animals	Canada
GCA_010767935.1	null	Animals	Canada
GCA_010767955.1	null	Animals	Canada
GCA_010767975.1	null	Animals	Canada
GCA_010767995.1	null	Animals	Canada
GCA_010768015.1	null	Animals	Canada
GCA_010768035.1	null	Animals	Canada
GCA_010768055.1	null	Animals	Canada
GCA_010768075.1	null	Animals	Canada
GCA_010768095.1	null	Animals	Canada
GCA_010768115.1	null	Animals	Canada
GCA_010768135.1	null	Animals	Canada
GCA_010772815.1	null	Animals	Canada
GCA_010772935.1	null	Animals	Canada
GCA_010772955.1	null	Animals	Canada
GCA_010772975.1	null	Animals	Canada
GCA_010772995.1	null	Animals	Canada
GCA_010773015.1	null	Animals	Canada
GCA_010773035.1	null	Animals	Canada
GCA_010773055.1	null	Animals	Canada
GCA_010773075.1	null	Animals	Canada
GCA_010773095.1	null	Animals	Canada
GCA_010773115.1	null	Animals	Canada
GCA_010773135.1	null	Animals	Canada
GCA_010773145.1	null	Animals	Canada
GCA_010773175.1	null	Animals	Canada
GCA_010773195.1	null	Animals	Canada
GCA_010773215.1	null	Animals	Canada
GCA_010773235.1	null	Animals	Canada
GCA_010773255.1	null	Animals	Canada
GCA_010773275.1	null	Animals	Canada
GCA_010773295.1	null	Animals	Canada
GCA_010773315.1	null	Animals	Canada
GCA_010773335.1	null	Animals	Canada
GCA_010773355.1	null	Animals	Canada
GCA_010773375.1	null	Animals	Canada
GCA_010773395.1	null	Animals	Canada
GCA_010773415.1	null	Animals	Canada
GCA_010773435.1	null	Animals	Canada
GCA_010773455.1	null	Animals	Canada
GCA_010773475.1	null	Animals	Canada
GCA_010773495.1	null	Animals	Canada
GCA_010773515.1	null	Animals	Canada
GCA_010773535.1	null	Animals	Canada
GCA_010774375.1	null	Animals	Canada
GCA_010774495.1	null	Animals	Canada
GCA_011119945.1	null	Animals	Canada
GCA_011120035.1	null	Animals	Canada
GCA_011120195.1	null	Animals	Canada
GCA_011120445.1	null	Animals	Canada
GCA_011120645.1	null	Animals	Canada
GCA_011121805.1	null	Animals	Canada
GCA_011122045.1	null	Animals	Canada
GCA_011122085.1	null	Animals	Canada
GCA_011122125.1	null	Animals	Canada
GCA_011122205.1	null	Animals	Canada
GCA_011122365.1	null	Animals	Canada
GCA_011122385.1	null	Animals	Canada
GCA_011122425.1	null	Animals	Canada
GCA_011122625.1	null	Animals	Canada
GCA_011122665.1	null	Animals	Canada
GCA_011122685.1	null	Animals	Canada
GCA_011122745.1	null	Animals	Canada
GCA_011122925.1	null	Animals	Canada
GCA_011123045.1	null	Animals	Canada
GCA_011123205.1	null	Animals	Canada
GCA_011123405.1	null	Animals	Canada
GCA_011124065.1	null	Animals	Canada
GCA_011124185.1	null	Animals	Canada
GCA_011124425.1	null	Animals	Canada
GCA_011124745.1	null	Animals	Canada
GCA_011124805.1	null	Animals	Canada
GCA_011125045.1	null	Animals	Canada
GCA_011125065.1	null	Animals	Canada
GCA_011125165.1	null	Animals	Canada
GCA_011125205.1	null	Animals	Canada
GCA_011125585.1	null	Animals	Canada
GCA_011126835.1	null	Animals	Canada
GCA_011135875.1	null	Animals	Canada
GCA_011135915.1	null	Animals	Canada
GCA_011135975.1	null	Animals	Canada
GCA_011136015.1	null	Animals	Canada
GCA_011136035.1	null	Animals	Canada
GCA_011136075.1	null	Animals	Canada
GCA_011136115.1	null	Animals	Canada
GCA_011136135.1	null	Animals	Canada
GCA_011136215.1	null	Animals	Canada
GCA_011136235.1	null	Animals	Canada
GCA_011136255.1	null	Animals	Canada
GCA_011136295.1	null	Animals	Canada
GCA_011136315.1	null	Animals	Canada
GCA_011136325.1	null	Animals	Canada
GCA_011136375.1	null	Animals	Canada
GCA_011136395.1	null	Animals	Canada
GCA_011136435.1	null	Animals	Canada
GCA_011396745.1	null	Animals	Canada
GCA_011397075.1	null	Animals	Canada
GCA_011397255.1	null	Animals	Canada
GCA_011397345.1	null	Animals	Canada
GCA_011397385.1	null	Animals	Canada
GCA_011397795.1	null	Animals	Canada
GCA_011408395.1	null	Animals	Canada
GCA_011408475.1	null	Animals	Canada
GCA_011408615.1	null	Animals	Canada
GCA_011409915.1	null	Animals	Canada
GCA_011410495.1	null	Animals	Canada
